1, 2/26, 230.0
2, 2/27, 226.4
3, 2/28, 226.0
13, 3/09, 224.8
20, 3/16, 224.2
24, 3/20, 222.8
26, 3/22, 220.4
66, 5/01, 219.5
67, 5/02, 218.5
77, 5/12, 217.2
80, 5/15, 216.8
83, 5/18, 215.4
98, 6/02, 213.8
107, 6/11, 211.0
119, 6/23, 210.5
120, 6/24, 208.8
128, 7/02, 207.4
135, 7/09, 206.2
150, 7/24, 205.0
152, 7/26, 203.8
157, 7/31, 200.0
161, 8/04, 199.0
163, 8/06, 197.5
166, 8/09, 196.5
170, 8/13, 195.6
174, 8/17, 193.6
180, 8/23, 192.6
198, 9/10, 189.0
205, 9/17, 187.5
